Linux 5.10.0-21-amd64 (frodo) 	08/24/2023 	_x86_64_	(16 CPU)

08:30:54 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
08:34:16 AM     all      0.04      0.00      0.03      0.00      0.00     99.93
08:34:17 AM     all      0.19      0.00      0.25      0.00      0.00     99.56
08:34:18 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:34:19 AM     all      0.25      0.00      0.25      0.00      0.00     99.50
08:34:20 AM     all      0.75      0.00      0.81      0.12      0.00     98.31
08:34:21 AM     all      0.69      0.00      0.75      0.00      0.00     98.56
08:34:22 AM     all      0.56      0.00      0.69      0.00      0.00     98.74
08:34:23 AM     all      0.75      0.00      0.56      0.00      0.00     98.68
08:34:24 AM     all      0.63      0.00      0.81      0.00      0.00     98.56
08:34:25 AM     all      0.56      0.00      0.69      0.00      0.00     98.75
08:34:26 AM     all      0.81      0.00      0.63      0.00      0.00     98.56
08:34:27 AM     all      0.63      0.00      0.88      0.00      0.00     98.50
08:34:28 AM     all      0.63      0.00      0.63      0.00      0.00     98.75
08:34:29 AM     all      0.63      0.00      0.63      0.00      0.00     98.75
08:34:30 AM     all      1.12      0.00      0.87      0.00      0.00     98.00
08:34:31 AM     all      0.50      0.00      0.75      0.06      0.00     98.69
08:34:32 AM     all      6.32      0.00      1.19      0.00      0.00     92.50
08:34:33 AM     all     10.07      0.00      1.18      0.00      0.00     88.74
08:34:34 AM     all      9.88      0.00      1.68      0.00      0.00     88.44
08:34:35 AM     all      6.14      0.00      1.63      1.25      0.00     90.98
08:34:36 AM     all      6.91      0.00      1.12      0.31      0.00     91.66
08:34:37 AM     all      9.94      0.00      1.25      0.00      0.00     88.81
08:34:38 AM     all      6.94      0.00      0.88      0.00      0.00     92.18
08:34:39 AM     all      7.51      0.00      1.20      0.00      0.00     91.29
08:34:40 AM     all     11.69      0.00      2.26      0.06      0.00     85.98
08:34:41 AM     all      6.88      0.00      1.81      1.00      0.00     90.31
08:34:42 AM     all      2.06      0.00      1.87      2.93      0.00     93.14
08:34:43 AM     all      1.25      0.00      1.44      3.51      0.00     93.79
08:34:44 AM     all      0.50      0.00      0.44      0.44      0.00     98.62
08:34:45 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:34:46 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:34:47 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:34:48 AM     all      0.06      0.00      0.13      0.00      0.00     99.81
Average:        all      0.44      0.00      0.14      0.04      0.00     99.37
Linux 5.10.0-21-amd64 (frodo) 	08/24/2023 	_x86_64_	(16 CPU)

08:34:49 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
08:34:50 AM     all      0.13      0.00      0.25      0.06      0.00     99.56
08:34:51 AM     all      0.44      0.00      0.31      0.00      0.00     99.25
08:34:52 AM     all      0.69      0.00      0.56      0.00      0.00     98.75
08:34:53 AM     all      0.75      0.00      0.81      0.00      0.00     98.44
08:34:54 AM     all      0.63      0.00      0.69      0.00      0.00     98.69
08:34:55 AM     all      0.50      0.00      0.75      0.00      0.00     98.75
08:34:56 AM     all      0.50      0.00      0.63      0.00      0.00     98.87
08:34:57 AM     all      0.56      0.00      0.56      0.00      0.00     98.87
08:34:58 AM     all      1.00      0.00      0.87      0.00      0.00     98.13
08:34:59 AM     all      0.44      0.00      0.82      0.00      0.00     98.75
08:35:00 AM     all      0.69      0.00      0.44      0.00      0.00     98.87
08:35:01 AM     all      0.56      0.00      0.81      0.00      0.00     98.62
08:35:02 AM     all      0.88      0.00      0.56      0.00      0.00     98.56
08:35:03 AM     all      0.69      0.00      0.56      0.00      0.00     98.75
08:35:04 AM     all      4.61      0.00      1.56      0.00      0.00     93.83
08:35:05 AM     all      7.56      0.00      0.76      0.00      0.00     91.69
08:35:06 AM     all      9.75      0.00      1.96      0.00      0.00     88.28
08:35:07 AM     all      6.05      0.00      1.39      0.50      0.00     92.06
08:35:08 AM     all      6.65      0.00      1.37      0.25      0.00     91.73
08:35:09 AM     all     10.01      0.00      1.20      0.00      0.00     88.79
08:35:10 AM     all      6.81      0.00      1.00      0.00      0.00     92.19
08:35:11 AM     all      7.32      0.00      0.81      0.00      0.00     91.87
08:35:12 AM     all     12.87      0.00      2.50      0.06      0.00     84.57
08:35:13 AM     all      5.69      0.00      1.77      0.76      0.00     91.78
08:35:14 AM     all      4.10      0.00      1.74      1.30      0.00     92.86
08:35:15 AM     all      0.31      0.00      1.68      0.94      0.00     97.07
08:35:16 AM     all      1.19      0.00      0.88      0.44      0.00     97.49
08:35:17 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:35:18 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:35:19 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:35:20 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:35:21 AM     all      1.38      0.00      2.77      0.13      0.00     95.73
Average:        all      2.90      0.00      0.94      0.14      0.00     96.03
Linux 5.10.0-21-amd64 (frodo) 	08/24/2023 	_x86_64_	(16 CPU)

08:35:21 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
08:35:22 AM     all      0.31      0.00      0.06      0.00      0.00     99.62
08:35:23 AM     all      0.13      0.00      0.25      0.06      0.00     99.56
08:35:24 AM     all      0.88      0.00      0.62      0.00      0.00     98.50
08:35:25 AM     all      0.44      0.00      0.69      0.00      0.00     98.87
08:35:26 AM     all      0.63      0.00      0.63      0.00      0.00     98.75
08:35:27 AM     all      0.63      0.00      0.81      0.00      0.00     98.56
08:35:28 AM     all      0.63      0.00      0.69      0.00      0.00     98.69
08:35:29 AM     all      0.56      0.00      0.69      0.00      0.00     98.75
08:35:30 AM     all      0.69      0.00      0.75      0.00      0.00     98.56
08:35:31 AM     all      0.50      0.00      0.63      0.06      0.00     98.81
08:35:32 AM     all      0.63      0.00      0.69      0.00      0.00     98.68
08:35:33 AM     all      0.25      0.00      0.44      0.00      0.00     99.31
08:35:34 AM     all      0.75      0.00      0.75      0.00      0.00     98.50
08:35:35 AM     all      1.13      0.00      0.56      0.00      0.00     98.31
08:35:36 AM     all      0.56      0.00      1.00      0.00      0.00     98.44
08:35:37 AM     all      7.37      0.00      1.44      0.00      0.00     91.19
08:35:38 AM     all     10.16      0.00      1.68      0.00      0.00     88.15
08:35:39 AM     all      7.13      0.00      2.27      0.19      0.00     90.40
08:35:40 AM     all      5.85      0.00      0.88      0.31      0.00     92.96
08:35:41 AM     all      7.43      0.00      1.12      0.31      0.00     91.13
08:35:42 AM     all      9.17      0.00      1.56      0.00      0.00     89.27
08:35:43 AM     all      7.38      0.00      0.50      0.00      0.00     92.12
08:35:44 AM     all      8.82      0.00      1.90      0.00      0.00     89.28
08:35:45 AM     all     10.14      0.00      2.24      0.50      0.00     87.13
08:35:46 AM     all      5.42      0.00      1.51      1.39      0.00     91.68
08:35:47 AM     all      0.63      0.00      1.63      0.94      0.00     96.80
08:35:48 AM     all      1.76      0.00      1.57      1.00      0.00     95.67
08:35:49 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:35:50 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:35:51 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:35:52 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:35:53 AM     all      0.44      0.00      0.25      0.19      0.00     99.12
Average:        all      2.82      0.00      0.87      0.15      0.00     96.15
Linux 5.10.0-21-amd64 (frodo) 	08/24/2023 	_x86_64_	(16 CPU)

08:35:53 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
08:35:54 AM     all      0.25      0.00      0.19      0.06      0.00     99.50
08:35:55 AM     all      0.19      0.00      0.31      0.00      0.00     99.50
08:35:56 AM     all      0.63      0.00      0.94      0.00      0.00     98.44
08:35:57 AM     all      0.75      0.00      0.75      0.00      0.00     98.50
08:35:58 AM     all      0.69      0.00      0.63      0.00      0.00     98.69
08:35:59 AM     all      0.69      0.00      0.69      0.00      0.00     98.62
08:36:00 AM     all      0.56      0.00      0.88      0.00      0.00     98.56
08:36:01 AM     all      0.44      0.00      0.56      0.00      0.00     99.00
08:36:02 AM     all      0.50      0.00      0.63      0.00      0.00     98.87
08:36:03 AM     all      0.81      0.00      0.81      0.00      0.00     98.38
08:36:04 AM     all      0.38      0.00      0.63      0.00      0.00     98.99
08:36:05 AM     all      0.81      0.00      0.31      0.00      0.00     98.88
08:36:06 AM     all      0.50      0.00      0.75      0.00      0.00     98.75
08:36:07 AM     all      0.50      0.00      0.44      0.00      0.00     99.06
08:36:08 AM     all      0.75      0.00      0.81      0.06      0.00     98.38
08:36:09 AM     all      6.08      0.00      1.25      0.00      0.00     92.66
08:36:10 AM     all      9.28      0.00      1.38      0.00      0.00     89.34
08:36:11 AM     all      9.93      0.00      1.62      0.06      0.00     88.38
08:36:12 AM     all      5.59      0.00      1.01      0.69      0.00     92.71
08:36:13 AM     all      6.16      0.00      1.13      0.31      0.00     92.39
08:36:14 AM     all      9.65      0.00      1.63      0.00      0.00     88.72
08:36:15 AM     all      6.57      0.00      0.69      0.00      0.00     92.74
08:36:16 AM     all      8.68      0.00      1.51      0.00      0.00     89.81
08:36:17 AM     all     11.03      0.00      2.38      0.06      0.00     86.53
08:36:18 AM     all      5.69      0.00      1.94      1.12      0.00     91.25
08:36:19 AM     all      1.57      0.00      1.51      1.01      0.00     95.91
08:36:20 AM     all      0.94      0.00      1.69      1.31      0.00     96.06
08:36:21 AM     all      0.19      0.00      0.19      0.00      0.00     99.62
08:36:22 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:36:23 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:36:24 AM     all      0.06      0.00      0.00      0.00      0.00     99.94
08:36:25 AM     all      0.31      0.00      0.25      0.12      0.00     99.31
Average:        all      2.82      0.00      0.86      0.15      0.00     96.17
Linux 5.10.0-21-amd64 (frodo) 	08/24/2023 	_x86_64_	(16 CPU)

08:36:26 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
08:36:27 AM     all      0.12      0.00      0.25      0.00      0.00     99.62
08:36:28 AM     all      0.56      0.00      0.00      0.00      0.00     99.44
08:36:29 AM     all      0.50      0.00      0.44      0.00      0.00     99.06
08:36:30 AM     all      0.62      0.00      0.88      0.00      0.00     98.50
08:36:31 AM     all      0.50      0.00      0.57      0.13      0.00     98.81
08:36:32 AM     all      0.75      0.00      0.69      0.00      0.00     98.56
08:36:33 AM     all      0.69      0.00      0.69      0.00      0.00     98.62
08:36:34 AM     all      0.57      0.00      0.57      0.00      0.00     98.87
08:36:35 AM     all      0.56      0.00      0.75      0.00      0.00     98.69
08:36:36 AM     all      0.50      0.00      0.75      0.06      0.00     98.68
08:36:37 AM     all      0.75      0.00      0.56      0.00      0.00     98.69
08:36:38 AM     all      0.56      0.00      0.56      0.00      0.00     98.87
08:36:39 AM     all      0.50      0.00      0.50      0.00      0.00     99.00
08:36:40 AM     all      0.75      0.00      0.69      0.00      0.00     98.56
08:36:41 AM     all      0.69      0.00      0.63      0.06      0.00     98.62
08:36:42 AM     all      5.49      0.00      1.31      0.00      0.00     93.20
08:36:43 AM     all      8.54      0.00      1.50      0.00      0.00     89.97
08:36:44 AM     all      9.99      0.00      1.51      0.00      0.00     88.51
08:36:45 AM     all      7.16      0.00      1.56      0.87      0.00     90.42
08:36:46 AM     all      7.26      0.00      1.12      0.19      0.00     91.43
08:36:47 AM     all      9.14      0.00      1.70      0.00      0.00     89.16
08:36:48 AM     all      6.40      0.00      0.75      0.00      0.00     92.84
08:36:49 AM     all      7.86      0.00      0.94      0.00      0.00     91.21
08:36:50 AM     all     10.68      0.00      2.43      0.19      0.00     86.69
08:36:51 AM     all      7.85      0.00      1.67      0.99      0.00     89.49
08:36:52 AM     all      2.64      0.00      1.70      2.89      0.00     92.77
