Linux 5.10.0-21-amd64 (frodo) 	08/24/2023 	_x86_64_	(16 CPU)

08:51:02 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
08:51:03 AM     all      5.69      0.00      0.56      0.00      0.00     93.75
08:51:04 AM     all      2.57      0.00      0.19      0.00      0.00     97.25
08:51:05 AM     all      0.37      0.00      0.12      0.06      0.00     99.44
08:51:06 AM     all      0.44      0.00      0.06      0.00      0.00     99.50
08:51:07 AM     all      0.06      0.00      0.00      0.00      0.00     99.94
08:51:08 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:51:09 AM     all      0.12      0.00      0.00      0.00      0.00     99.88
08:51:10 AM     all      0.12      0.00      0.31      0.06      0.00     99.50
08:51:11 AM     all      0.31      0.00      0.25      0.00      0.00     99.44
08:51:12 AM     all      0.19      0.00      0.38      0.00      0.00     99.44
08:51:13 AM     all      0.00      0.00      0.56      0.13      0.00     99.31
08:51:14 AM     all      0.13      0.00      0.44      0.00      0.00     99.44
08:51:15 AM     all      0.13      0.00      0.38      0.06      0.00     99.44
08:51:16 AM     all      0.19      0.00      0.44      0.00      0.00     99.38
08:51:17 AM     all      0.25      0.00      0.44      0.00      0.00     99.31
08:51:18 AM     all      0.19      0.00      0.50      0.75      0.00     98.56
08:51:19 AM     all      0.13      0.00      0.56      0.00      0.00     99.31
08:51:20 AM     all      0.13      0.00      0.38      0.00      0.00     99.50
08:51:21 AM     all      0.13      0.00      0.63      0.00      0.00     99.25
08:51:22 AM     all      0.19      0.00      0.56      0.00      0.00     99.25
08:51:23 AM     all      0.13      0.00      0.44      0.00      0.00     99.44
08:51:24 AM     all      0.12      0.00      0.69      0.00      0.00     99.19
08:51:25 AM     all      0.25      0.00      0.62      0.06      0.00     99.06
08:51:26 AM     all      0.19      0.00      0.44      0.00      0.00     99.37
08:51:27 AM     all      0.19      0.00      0.63      0.00      0.00     99.19
08:51:28 AM     all      0.25      0.00      0.56      0.00      0.00     99.19
08:51:29 AM     all      0.19      0.00      0.62      0.00      0.00     99.19
08:51:30 AM     all      0.00      0.00      0.31      0.06      0.00     99.62
08:51:31 AM     all      0.19      0.00      0.44      0.00      0.00     99.37
08:51:32 AM     all      0.19      0.00      0.56      0.00      0.00     99.25
08:51:33 AM     all      0.13      0.00      0.38      0.00      0.00     99.50
08:51:34 AM     all      0.06      0.00      0.50      0.00      0.00     99.44
08:51:35 AM     all      0.19      0.00      0.44      0.06      0.00     99.31
08:51:36 AM     all      0.06      0.00      0.56      0.00      0.00     99.37
08:51:37 AM     all      0.12      0.00      0.50      0.00      0.00     99.38
08:51:38 AM     all      0.19      0.00      0.44      0.00      0.00     99.37
08:51:39 AM     all      0.00      0.00      0.56      0.00      0.00     99.44
08:51:40 AM     all      0.13      0.00      0.38      0.00      0.00     99.50
08:51:41 AM     all      0.06      0.00      0.50      0.00      0.00     99.44
08:51:42 AM     all      0.19      0.00      0.44      0.00      0.00     99.37
08:51:43 AM     all      0.06      0.00      0.69      0.00      0.00     99.25
08:51:44 AM     all      0.25      0.00      0.38      0.00      0.00     99.38
08:51:45 AM     all      0.31      0.00      0.38      0.06      0.00     99.25
08:51:46 AM     all      0.13      0.00      0.38      0.00      0.00     99.50
08:51:47 AM     all      0.12      0.00      0.56      0.00      0.00     99.31
08:51:48 AM     all      0.13      0.00      0.56      0.00      0.00     99.31
08:51:49 AM     all      0.13      0.00      0.88      3.44      0.00     95.56
08:51:50 AM     all      0.06      0.00      0.50      0.69      0.00     98.75
08:51:51 AM     all      0.19      0.00      0.50      0.00      0.00     99.31
08:51:52 AM     all      0.13      0.00      0.44      0.00      0.00     99.44
08:51:53 AM     all      0.13      0.00      0.63      0.00      0.00     99.25
08:51:54 AM     all      0.13      0.00      0.44      0.00      0.00     99.44
08:51:55 AM     all      0.12      0.00      0.62      0.06      0.00     99.19
08:51:56 AM     all      0.13      0.00      0.56      0.00      0.00     99.31
08:51:57 AM     all      0.06      0.00      0.56      0.00      0.00     99.38
08:51:58 AM     all      0.19      0.00      0.38      0.00      0.00     99.44
08:51:59 AM     all      0.06      0.00      0.69      0.00      0.00     99.25
08:52:00 AM     all      0.13      0.00      0.44      0.06      0.00     99.37
08:52:01 AM     all      0.06      0.00      0.50      0.00      0.00     99.44
08:52:02 AM     all      0.12      0.00      0.50      0.00      0.00     99.38
08:52:03 AM     all      0.19      0.00      0.56      0.00      0.00     99.25
08:52:04 AM     all      0.13      0.00      0.56      0.00      0.00     99.31
08:52:05 AM     all      0.19      0.00      0.62      0.06      0.00     99.12
08:52:06 AM     all      0.13      0.00      0.56      0.00      0.00     99.31
08:52:07 AM     all      0.12      0.00      0.69      0.00      0.00     99.19
08:52:08 AM     all      0.31      0.00      0.44      0.00      0.00     99.25
08:52:09 AM     all      0.13      0.00      0.63      0.00      0.00     99.25
08:52:10 AM     all      0.06      0.00      0.63      0.06      0.00     99.25
08:52:11 AM     all      0.13      0.00      0.44      0.00      0.00     99.44
08:52:12 AM     all      0.13      0.00      0.44      0.00      0.00     99.44
08:52:13 AM     all      0.19      0.00      0.31      0.00      0.00     99.50
08:52:14 AM     all      0.25      0.00      0.62      0.00      0.00     99.13
08:52:15 AM     all      0.25      0.00      0.56      0.00      0.00     99.19
08:52:16 AM     all      0.19      0.00      0.50      0.00      0.00     99.31
08:52:17 AM     all      0.13      0.00      0.56      0.00      0.00     99.31
08:52:18 AM     all      0.19      0.00      0.56      0.00      0.00     99.25
08:52:19 AM     all      0.06      0.00      0.56      0.00      0.00     99.37
08:52:20 AM     all      0.13      0.00      0.38      0.38      0.00     99.12
08:52:21 AM     all      0.06      0.00      0.69      2.26      0.00     96.99
08:52:22 AM     all      0.19      0.00      0.50      0.00      0.00     99.31
08:52:23 AM     all      0.19      0.00      0.50      0.00      0.00     99.31
08:52:24 AM     all      0.19      0.00      0.56      0.00      0.00     99.25
08:52:25 AM     all      0.13      0.00      0.63      0.06      0.00     99.19
08:52:26 AM     all      0.38      0.00      0.56      0.00      0.00     99.06
08:52:27 AM     all      0.13      0.00      0.56      0.00      0.00     99.31
08:52:28 AM     all      0.06      0.00      0.63      0.00      0.00     99.31
08:52:29 AM     all      0.19      0.00      0.56      0.00      0.00     99.25
08:52:30 AM     all      0.19      0.00      0.56      0.06      0.00     99.19
08:52:31 AM     all      0.19      0.00      0.38      0.00      0.00     99.44
08:52:32 AM     all      0.13      0.00      0.56      0.00      0.00     99.31
08:52:33 AM     all      0.13      0.00      0.63      0.00      0.00     99.25
08:52:34 AM     all      0.13      0.00      0.50      0.00      0.00     99.37
08:52:35 AM     all      0.06      0.00      0.50      0.06      0.00     99.37
08:52:36 AM     all      0.25      0.00      0.50      0.00      0.00     99.25
08:52:37 AM     all      0.06      0.00      0.50      0.00      0.00     99.44
08:52:38 AM     all      0.06      0.00      0.56      0.00      0.00     99.37
08:52:39 AM     all      0.19      0.00      0.56      0.00      0.00     99.25
08:52:40 AM     all      1.00      0.00      0.44      0.06      0.00     98.50
08:52:41 AM     all      6.06      0.00      0.19      0.00      0.00     93.75
08:52:42 AM     all      6.00      0.00      0.25      0.00      0.00     93.75
08:52:43 AM     all      6.01      0.00      0.31      0.00      0.00     93.68
08:52:44 AM     all      6.00      0.00      0.31      0.00      0.00     93.69
08:52:45 AM     all      4.00      0.00      2.25      0.06      0.00     93.69
08:52:46 AM     all      4.50      0.00      1.75      0.00      0.00     93.75
08:52:47 AM     all      4.57      0.00      1.63      0.00      0.00     93.80
08:52:48 AM     all      4.50      0.00      1.31      0.31      0.00     93.88
08:52:49 AM     all      4.13      0.00      2.19      0.00      0.00     93.68
08:52:50 AM     all      6.01      0.00      3.32      0.19      0.00     90.48
