start_time,send_time,start_booting, start_scamper, end_scamper,end_time
1693573798.752,1693573799.317,1693573813.609,1693573814.431,1693573814.432,1693573815.129
1693573799.795,1693573800.163,1693573814.703,1693573815.447,1693573815.449,1693573816.083
1693573802.338,1693573803.264,1693573817.443,1693573818.242,1693573818.243,1693573819.018
1693573798.885,1693573800.516,1693573818.366,1693573819.085,1693573819.086,1693573819.948
1693573802.730,1693573805.045,1693573820.243,1693573821.189,1693573821.190,1693573821.994
1693573815.842,1693573816.420,1693573830.073,1693573830.910,1693573830.911,1693573831.584
1693573816.793,1693573817.057,1693573831.051,1693573831.965,1693573831.966,1693573832.589
1693573820.459,1693573821.505,1693573836.225,1693573837.037,1693573837.038,1693573837.893
1693573822.075,1693573823.665,1693573841.210,1693573842.122,1693573842.124,1693573843.023
1693573824.883,1693573827.222,1693573842.307,1693573843.101,1693573843.103,1693573844.133
1693573832.989,1693573833.446,1693573847.304,1693573848.290,1693573848.291,1693573849.010
1693573833.818,1693573834.083,1693573847.797,1693573848.697,1693573848.698,1693573849.312
1693573839.485,1693573840.366,1693573854.137,1693573855.010,1693573855.011,1693573855.780
1693573845.205,1693573846.706,1693573864.077,1693573865.046,1693573865.047,1693573865.852
1693573850.013,1693573850.437,1693573864.334,1693573865.381,1693573865.382,1693573866.103
1693573846.890,1693573849.155,1693573864.332,1693573865.385,1693573865.386,1693573866.208
1693573850.870,1693573851.172,1693573865.290,1693573866.005,1693573866.006,1693573866.669
1693573857.533,1693573858.465,1693573872.175,1693573872.908,1693573872.909,1693573873.710
