date,memory_kb
2023-08-23T09:18:36.0Z,0
2023-08-23T09:18:37.0Z,5616
2023-08-23T09:18:38.0Z,3427
2023-08-23T09:18:39.0Z,3427
2023-08-23T09:18:40.0Z,3427
2023-08-23T09:18:41.0Z,3427
2023-08-23T09:18:42.0Z,3451
2023-08-23T09:18:43.0Z,3448
2023-08-23T09:18:44.0Z,3451
2023-08-23T09:18:45.0Z,3451
2023-08-23T09:18:46.0Z,3451
2023-08-23T09:18:47.0Z,3451
2023-08-23T09:18:48.0Z,3459
2023-08-23T09:18:49.0Z,3459
2023-08-23T09:18:50.0Z,3459
2023-08-23T09:18:51.0Z,3459
2023-08-23T09:18:52.0Z,3459
2023-08-23T09:18:53.0Z,3459
